,Name,Price,Rating,city,Kilometers,Year_of_Purchase,Owner,Fuel_Type,Transmission,RTO,Insurance,Insurance_Type,Month_of_Purchase
0, Maruti Alto LXI,174699,4,hyderabad,34854,2010,First ,Petrol,MANUAL,RTOAP09,,Expired,May
1, Maruti Wagon R . VXI,333999,4.2,hyderabad,39541,2013,Second ,Petrol,MANUAL,RTOAP28,6/8/2021,Comprehensive,July
2, Maruti Wagon R . VXI,353199,4.3,hyderabad,23233,2014,Second ,Petrol,MANUAL,RTOAP28,28/4/2021,Comprehensive,March
3, Hyundai Eon D LITE PLUS,237899,4.4,hyderabad,27748,2013,First ,Petrol,MANUAL,RTOAP13,1/1/2022,Comprehensive,November
4, Hyundai Eon ERA PLUS,300699,4.4,hyderabad,12238,2017,Second ,Petrol,MANUAL,RTOTS10,,Expired,August
5, Honda City V MT PETROL,507199,4.3,hyderabad,34377,2013,First ,Petrol,MANUAL,RTOAP09,30/3/2021,Expired,February
6, Maruti Alto LXI,188147,3.9,hyderabad,44132,2008,First ,Petrol,MANUAL,RTOAP28,,Expired,October
7, Honda Brio . V MT I VTEC,311099,4.3,hyderabad,31719,2012,First ,Petrol,MANUAL,RTOAP11,1/12/2021,Third_party,September
8, Hyundai Grand i SPORTZ (O) . AT VTVT,607099,4.7,hyderabad,17487,2017,First ,Petrol,,RTOTS07,,Expired,April
9, Maruti Celerio ZXI OPT AMT,472099,4.6,hyderabad,20010,2017,First ,Petrol,AUTOMATIC,RTOTS10,15/8/2021,ZeroDepreciation,July
10, Maruti Alto K VXI ,369799,4.5,hyderabad,19279,2017,First ,Petrol,MANUAL,RTOTS07,31/12/2020,Third_party,November
11, Maruti Alto  LXI,233459,4.2,hyderabad,40557,2012,Second ,Petrol,MANUAL,RTOAP28,,Expired,December
12, Hyundai Grand i SPORTS . VTVT,418699,4.4,hyderabad,39422,2013,First ,Petrol,MANUAL,RTOAP28,,Expired,November
13, Chevrolet Captiva LTZ AWD AT,464915,4,hyderabad,19832,2011,Second ,Diesel,AUTOMATIC,RTOTS07,31/5/2021,Third_party,February
14, Maruti Ritz VXI BS IV,333499,4.3,hyderabad,45317,2013,First ,Petrol,MANUAL,RTOAP28,,Expired,February
15, Hyundai Santro Xing GL,178699,4,hyderabad,84985,2008,First ,Petrol + LPG,MANUAL,RTOAP10,27/10/2021,Comprehensive,January
16, Maruti Alto  LXI,257899,4.3,hyderabad,47365,2013,First ,Petrol,MANUAL,RTOAP09,16/9/2021,Comprehensive,August
17, Ford Ecosport . TITANIUM TI VCT,559299,3.9,hyderabad,44368,2015,First ,Petrol,MANUAL,RTOTS07,,Expired,July
18, Maruti A Star VXI,213299,4.2,hyderabad,40253,2008,First ,Petrol,MANUAL,RTOAP09,,Expired,October
19, Maruti Wagon R . VXI,350799,4.2,hyderabad,53279,2015,First ,Petrol,MANUAL,RTOTS07,23/3/2021,Comprehensive,March
20, Hyundai Grand i SPORTS . VTVT,454799,4.7,hyderabad,46242,2016,First ,Petrol,MANUAL,RTOTS11,2/2/2022,Comprehensive,January
21, Maruti Zen Estilo VXI,243989,4.2,hyderabad,29214,2010,Second ,Petrol,MANUAL,RTOAP28,,Expired,January
22, Maruti Alto K VXI AMT,290099,3.9,hyderabad,46410,2014,Second ,Petrol,,RTOTS07,,Comprehensive,November
23, Maruti Swift VDI,421699,4.3,hyderabad,62206,2012,First ,Diesel,MANUAL,RTOAP09,,Comprehensive,December
24, Maruti Eeco  STR WITH AC PLUSHTR,438399,4.6,hyderabad,17082,2020,First ,Petrol,MANUAL,RTOTS07,2/3/2023,Expired,February
25, Hyundai Elite i SPORTZ .,518099,4.4,hyderabad,61923,2015,First ,Petrol,MANUAL,RTOTS13,,Expired,January
26, Maruti Alto LXI,247957,4.2,hyderabad,38938,2011,First ,Petrol,MANUAL,RTOAP28,,Expired,July
27, Hyundai Grand i SPORTZ O .,598875,4.5,hyderabad,15609,2017,First ,Petrol,MANUAL,RTOTS07,27/5/2021,Comprehensive,April
28, Maruti Swift ZXI,678699,4.9,hyderabad,3587,2016,First ,Petrol,MANUAL,RTOTS07,,Expired,December
29, Honda Brio . S MT I VTEC,411398,4.3,hyderabad,46727,2015,Third ,Petrol,MANUAL,RTOTS07,29/8/2021,Third_party,March
30, Maruti Wagon R . VXI,380599,4.6,hyderabad,48243,2015,First ,Petrol,MANUAL,RTOTS07,19/2/2021,ZeroDepreciation,January
31, Hyundai Grand i SPORTZ . KAPPA VTVT,584699,4.9,hyderabad,6891,2019,First ,Petrol,MANUAL,RTOTS08,9/7/2021,ZeroDepreciation,April
32, Hyundai Santro Xing GLS,182599,4.1,hyderabad,50156,2009,Second ,Petrol,MANUAL,RTOAP10,,Expired,January
33, Maruti Alto  LXI,339799,4.6,hyderabad,20321,2019,First ,Petrol,MANUAL,RTOTS08,22/4/2022,ZeroDepreciation,January
34, Maruti Alto LXI,173399,4,hyderabad,29879,2008,First ,Petrol,MANUAL,RTOAP28,28/4/2021,Comprehensive,January
35, Hyundai Elite i ASTA .,672599,4.8,hyderabad,11962,2018,First ,Petrol,MANUAL,RTOTS09,19/11/2021,Comprehensive,August
36, Maruti Eeco  STR,360599,4.3,hyderabad,54919,2016,First ,Petrol,MANUAL,RTOTS07,,Expired,November
37, Hyundai Santro Xing GLS,241199,4.3,hyderabad,31094,2009,First ,Petrol,MANUAL,RTOAP29,,Expired,April
38, Maruti Swift Dzire VDI BS IV,604299,4.5,hyderabad,59826,2015,First ,Diesel,MANUAL,RTOTS08,20/2/2021,Comprehensive,January
39, Maruti Alto LXI,153399,4.3,hyderabad,59696,2009,First ,Petrol,MANUAL,RTOAP09,26/2/2021,Comprehensive,January
40, Hyundai i MAGNA . KAPPA,281599,4.2,hyderabad,28790,2010,First ,Petrol,MANUAL,RTOAP11,4/5/2021,Comprehensive,January
41, Maruti Swift Dzire VXI . BS IV,531299,4.3,hyderabad,39309,2015,First ,Petrol,MANUAL,RTOTS07,,Expired,July
42, Maruti Alto K VXI AMT,338799,4.3,hyderabad,60866,2016,First ,Petrol,,RTOTS08,,Expired,November
43, Hyundai Santro Xing GLS,181499,4,hyderabad,67985,2010,First ,Petrol,MANUAL,RTOAP10,17/8/2020,Comprehensive,June
44, Honda Jazz . V AT,619199,4.5,hyderabad,34345,2016,First ,Petrol,AUTOMATIC,RTOTS08,,Third_party,August
45, Maruti Swift Dzire VDI ABS,590199,4.6,hyderabad,59957,2015,First ,Diesel,,RTOTS07,,Comprehensive,October
46, Renault Kwid RXT . EASY-R AT OPTION,354599,4.5,hyderabad,38747,2018,First ,Petrol,AUTOMATIC,RTOTS07,,Expired,June
47, Hyundai i SPORTZ . O,341933,4,hyderabad,81726,2010,First ,Petrol,MANUAL,RTOAP11,14/9/2021,Comprehensive,August
48, Maruti Baleno ZETA . K ,639999,4.8,hyderabad,22594,2016,First ,Petrol,MANUAL,RTOTS08,14/3/2021,Third_party,December
49, Maruti Alto  LXI,261499,4.3,hyderabad,57525,2013,First ,Petrol,MANUAL,RTOAP28,27/3/2021,Comprehensive,January
50, Hyundai NEW SANTRO . MAGNA CNG MT,486580,4.1,hyderabad,27743,2018,First ,Petrol + CNG,,RTOTS08,18/4/2021,ZeroDepreciation,November
51, Maruti Alto K VXI ,336299,4.5,hyderabad,37328,2017,First ,Petrol,MANUAL,RTOTS07,1/6/2021,,June
52, Maruti Celerio X Vxi,432199,4.5,hyderabad,31973,2018,First ,Petrol,MANUAL,RTOTS15,20/9/2021,Third_party,August
53, Hyundai Santro Xing GLS LPG,282899,4.3,hyderabad,54368,2011,First ,Petrol + LPG,MANUAL,RTOAP28,9/9/2021,Comprehensive,June
54, Maruti Wagon R . VXI,343899,4.2,hyderabad,59094,2016,Second ,Petrol,MANUAL,RTOTS12,,Expired,February
55, Maruti Alto  LXI,299799,4.3,hyderabad,38472,2015,First ,Petrol,MANUAL,RTOTS07,7/9/2021,Comprehensive,April
56, Hyundai i SPORTZ . KAPPA,318599,4.2,hyderabad,68764,2011,Second ,Petrol,MANUAL,RTOAP28,31/12/2021,Comprehensive,April
57, Maruti Zen Estilo LXI,151899,4,hyderabad,45920,2007,First ,Petrol,MANUAL,RTOAP11,20/12/2021,Expired,July
58, Maruti Wagon R . VXI,409175,4.3,hyderabad,53570,2015,First ,Petrol,MANUAL,RTOTS07,4/1/2022,Third_party,December
59, Hyundai i MAGNA .,272142,4.2,hyderabad,66427,2009,Second ,Petrol,MANUAL,RTOAP29,2/12/2021,Comprehensive,March
60, Maruti Swift ZXI AMT,694799,4.5,hyderabad,39712,2018,First ,Petrol,AUTOMATIC,RTOTS07,30/10/2021,Third_party,October
61, Hyundai Eon MAGNA PLUS,371470,4.1,hyderabad,25439,2017,First ,Petrol,MANUAL,RTOTS08,,Expired,November
62, Hyundai i MAGNA . LPG,279599,3.8,hyderabad,87828,2012,First ,Petrol + LPG,MANUAL,RTOAP28,28/9/2021,Comprehensive,September
63, Ford Figo . TITANIUM DURATORQ,271699,3.9,hyderabad,90368,2013,Second ,Diesel,MANUAL,RTOAP28,19/6/2021,Expired,January
64, Maruti Wagon R . VXI,497400,4.4,hyderabad,27797,2017,First ,Petrol,MANUAL,RTOTS08,31/12/2021,ZeroDepreciation,December
65, Maruti Baleno ZETA . K AMT ,719672,4.4,hyderabad,29197,2018,First ,Petrol,AUTOMATIC,RTOTS10,27/7/2021,Third_party,February
66, Maruti IGNIS DELTA . K ,494999,4.5,hyderabad,31925,2017,First ,Petrol,MANUAL,RTOTS10,16/3/2021,ZeroDepreciation,March
67, Ford FREESTYLE TITANIUM . TI-VCT MT,671205,4.7,hyderabad,16141,2019,First ,Petrol,,RTOTS08,6/2/2022,Expired,January
68, Maruti S Cross ZETA .,452753,4.4,hyderabad,74127,2015,Second ,Diesel,MANUAL,RTODL5C,,Expired,August
69, Hyundai Eon ERA PLUS,343740,4.1,hyderabad,40681,2016,First ,Petrol,MANUAL,RTOTS08,3/7/2021,Comprehensive,March
70, Maruti Baleno SIGMA . K,560885,4.5,hyderabad,28156,2015,Second ,Petrol,MANUAL,RTOTS09,29/9/2020,ZeroDepreciation,December
71, Maruti Wagon R . VXI,320699,4,hyderabad,70993,2015,First ,Petrol,MANUAL,RTOTS07,,Expired,September
72, Maruti Swift Dzire VXI . BS IV,538199,4.3,hyderabad,78713,2015,First ,Petrol,MANUAL,RTOTS07,18/4/2021,Comprehensive,March
73, Maruti Baleno ALPHA DDIS  ,687299,4.5,hyderabad,61489,2017,First ,Diesel,MANUAL,RTOTS07,8/8/2021,ZeroDepreciation,May
74, Maruti Alto  LXI,382227,4.5,hyderabad,34886,2019,First ,Petrol,MANUAL,RTOTS07,,Expired,March
75, Maruti Swift VXI,543099,4.4,hyderabad,42546,2018,First ,Petrol,MANUAL,RTOTS10,16/2/2021,ZeroDepreciation,February
76, Hyundai Grand i ASTA . AT VTVT,633180,4.4,hyderabad,23738,2015,Second ,Petrol,AUTOMATIC,RTOTS10,,Expired,April
77, Maruti Wagon R . LXI,248899,4.3,hyderabad,70903,2010,Second ,Petrol + CNG,MANUAL,RTOAP29,17/5/2021,Comprehensive,May
78, Maruti Swift VXI,745853,4.9,hyderabad,14598,2019,First ,Petrol,MANUAL,RTOTS07,23/2/2021,Comprehensive,January
79, Volkswagen Polo COMFORTLINE .L PETROL,604106,4.6,hyderabad,27276,2017,First ,Petrol,MANUAL,RTOTS07,10/10/2020,ZeroDepreciation,September
80, Hyundai i MAGNA . VTVT,287165,3.7,hyderabad,84373,2009,First ,Petrol,MANUAL,RTOAP09,,Expired,January
81, Maruti Dzire VXI,734309,4.5,hyderabad,35440,2017,First ,Petrol,MANUAL,RTOTS10,26/9/2021,Comprehensive,May
82, Hyundai Santro Xing GLS,210099,4,hyderabad,82748,2009,Second ,Petrol + LPG,MANUAL,RTOAP29,,Expired,November
83, Maruti Wagon R . LXI CNG,244899,3.9,hyderabad,114593,2011,Second ,Petrol + CNG,MANUAL,RTOAP29,,Expired,December
84, Ford Ecosport .TITANIUM TDCI,534199,4.2,hyderabad,80990,2014,Second ,Diesel,MANUAL,RTOTS10,27/6/2021,Comprehensive,June
85, Maruti Alto K LXI,239642,4.1,hyderabad,81759,2012,Second ,Petrol,MANUAL,RTOAP29,10/3/2021,Expired,February
86, Volkswagen Vento HIGHLINE TDI AT,616999,4.3,hyderabad,88336,2016,First ,Diesel,AUTOMATIC,RTOTS09,,Expired,June
87, Honda Accord . AT I VTEC,291099,3.6,hyderabad,163326,2009,Second ,Petrol,AUTOMATIC,RTOAP09,,Expired,September
88, Maruti Baleno ALPHA . K ,883298,4.9,hyderabad,25811,2018,First ,Petrol,MANUAL,RTOTS07,,Expired,July
89, Maruti Alto  LXI,349499,4.3,hyderabad,42143,2018,First ,Petrol,MANUAL,RTOTS15,12/12/2021,Expired,February
90, Maruti Alto  LXI,244180,4.1,hyderabad,66047,2013,Second ,Petrol,MANUAL,RTOAP28,23/5/2020,Comprehensive,April
91, Hyundai i MAGNA . KAPPA,262399,4.1,hyderabad,116983,2011,Second ,Petrol,MANUAL,RTOAP09,21/11/2021,Expired,April
92, Hyundai i SPORTZ . KAPPA,305199,4.3,hyderabad,114748,2012,First ,Petrol,MANUAL,RTOAP09,,Expired,January
93, Maruti Wagon R Duo LXI LPG,183099,3.7,hyderabad,197377,2009,First ,Petrol + LPG,MANUAL,RTOAP11,,Expired,August
94, Maruti Wagon R LXI,215499,4,hyderabad,110417,2010,First ,Petrol,MANUAL,RTOAP28,16/2/2021,Comprehensive,January
95, Maruti Swift ZDI,391099,4,hyderabad,164757,2012,First ,Diesel,MANUAL,RTOAP28,29/1/2021,Comprehensive,January
96, Maruti Swift Dzire VDI BS IV,578899,3.7,hyderabad,97036,2015,First ,Diesel,MANUAL,RTOTS15,,Expired,January
97, Maruti Swift VDI ABS,481799,4.2,hyderabad,98101,2015,First ,Diesel,MANUAL,RTOAP31,23/7/2021,Comprehensive,May
98, Renault Fluence . E,257071,3.7,hyderabad,112136,2013,Second ,Diesel,MANUAL,RTOAP23,,Expired,January
99, Maruti Swift Dzire VXI . BS IV,456699,4.3,hyderabad,93657,2015,First ,Petrol,MANUAL,RTOTS09,1/11/2021,ZeroDepreciation,May
100, Hyundai i SPORTZ .,200199,4.1,hyderabad,155505,2009,First ,Petrol,MANUAL,RTOAP29,5/11/2021,Comprehensive,October
101, Volkswagen Polo HIGHLINE.L DIESEL,289399,4.4,hyderabad,114877,2014,First ,Diesel,MANUAL,RTODL10,27/6/2021,Comprehensive,January
102, Hyundai Creta . SX CRDI,984999,4.5,hyderabad,76226,2016,First ,Diesel,,RTOTS09,13/6/2021,ZeroDepreciation,May
103, Honda Amaze . SMT I DTEC,401699,4,hyderabad,85851,2013,Third ,Diesel,MANUAL,RTOAP29,9/6/2021,Third_party,April
104, Maruti Swift VDI ABS,451799,4.3,hyderabad,119742,2015,Second ,Diesel,MANUAL,RTOTS08,29/3/2021,Third_party,February
105, Maruti Baleno ALPHA . K ,666999,4.5,hyderabad,26704,2017,First ,Petrol,MANUAL,RTOTS07,21/11/2021,ZeroDepreciation,November
106, Hyundai Creta . CRDI SX PLUS AUTO,1188855,4,hyderabad,108963,2016,First ,Diesel,AUTOMATIC,RTOTS08,19/9/2021,Comprehensive,August
107, Honda City VX CVT PETROL,639030,4.3,hyderabad,137243,2016,First ,Petrol,AUTOMATIC,RTOTS07,,Expired,September
108, Maruti Swift VDI,374299,4,hyderabad,146225,2012,First ,Diesel,MANUAL,RTOAP28,26/2/2021,Comprehensive,February
109, Maruti Wagon R . LXI CNG,316000,4.2,hyderabad,66711,2012,Second ,Petrol + CNG,MANUAL,RTOAP09,9/9/2020,Third_party,July
110, Maruti Celerio VXI AMT,420000,4.3,hyderabad,16695,2015,First ,Petrol,AUTOMATIC,RTOTS09,13/10/2020,ZeroDepreciation,June
111, Tata Nano LX,50000,3.7,hyderabad,34609,2012,First ,Petrol,MANUAL,RTOTN51,23/10/2021,Comprehensive,May
112, Maruti  AC,70000,3.5,hyderabad,40267,2006,Second ,Petrol,MANUAL,RTOAP29,,Expired,September
113, Mahindra Bolero SLX,136000,3.3,hyderabad,42510,2006,Second ,Diesel,MANUAL,RTOAP16,,Expired,February
114, Maruti Alto LXI,170000,4.2,hyderabad,18984,2009,First ,Petrol,MANUAL,RTOAP11,19/11/2021,Third_party,October
115, Maruti Swift VXI .,155000,3.4,hyderabad,1,2005,Second ,Petrol + LPG,MANUAL,RTOAP11,,Expired,November
116, Maruti Eeco  STR WITH AC PLUSHTR,436000,4.9,hyderabad,2716,2020,First ,Petrol,MANUAL,RTOTS13,,Expired,February
117, Maruti Swift VXI,220000,3.5,hyderabad,48256,2006,Second ,Petrol,MANUAL,RTOAP09,9/8/2021,Third_party,April
